chr,start,end,strand,name,nr reads,start region,end region,closest cg id,closest symbol
chr3L,12479882,12481226,-,s22557,1,3' UTRs,CDS,CG10660,CG10660
chr3L,13005130,13005477,-,s22558,1,3' UTRs,CDS,CG11261,CG11261
chr3L,14410031,14410285,-,s22559,1,CDS,5' UTRs,CG42230,bbg
chr3L,15132108,15132260,-,s22560,1,5' UTRs,5' UTRs,CG6988,Pdi
chr3L,16031572,16033107,-,s22561,1,3' UTRs,5' UTRs,CG12284,th
chr3L,16364361,16364774,-,s22562,1,other,other,CG16807,roq
chr3L,16366568,16367181,-,s22563,1,3' UTRs,3' UTRs,CG16807,roq
chr3L,16641771,16642032,-,s22564,1,other,3' UTRs,CG4032,Abl
chr3L,1779121,1781267,-,s22565,1,3' UTRs,CDS,CG1977,alpha-Spec
chr3L,18009440,18009825,-,s22566,1,introns,introns,CG8127,Eip75B
chr3L,1859351,1859633,-,s22567,1,3' UTRs,3' UTRs,CG1956,R
chr3L,19163026,19163598,-,s22568,1,5' UTRs,5' UTRs,CG9739,fz2
chr3L,19584099,19584328,-,s22569,1,3' UTRs,3' UTRs,CG8887,ash1
chr3L,19887988,19890355,-,s22570,1,5' UTRs,5' UTRs,CG32217,Su(Tpl)
chr3L,21264382,21264651,-,s22571,1,3' UTRs,3' UTRs,CG9390,AcCoAS
chr3L,259478,259811,-,s22572,1,3' UTRs,CDS,CG7008,Tudor-SN
chr3L,3115782,3118268,-,s22573,1,3' UTRs,CDS,CG7740,prominin-like
chr3L,5152157,5153001,-,s22574,1,3' UTRs,3' UTRs,CG32423,shep
chr3L,5153149,5153393,-,s22575,1,3' UTRs,3' UTRs,CG32423,shep
chr3L,6161797,6162050,-,s22576,1,other,other,CG10289,CG10289
chr3L,6952855,6953134,-,s22577,1,3' UTRs,3' UTRs,CG10072,sgl
chr3L,877861,878122,-,s22578,1,3' UTRs,3' UTRs,CG13907,CG13907
chr3L,8975567,8975877,-,s22579,1,5' UTRs (AS),CDS (AS),FBgn0035950,CG5288-RA
chr3L,10083333,10083500,-,s22580,1,3' UTRs,CDS,CG14160,CG14160
chr3L,11090345,11090568,-,s22581,1,introns (AS),introns (AS),CG6272,CG6272
chr3L,12199557,12199851,-,s22582,1,3' UTRs,3' UTRs,CG5626,CG5626
chr3L,12199601,12199867,-,s22583,1,3' UTRs,3' UTRs,CG5626,CG5626
chr3L,12262826,12263175,-,s22584,1,3' UTRs (AS),3' UTRs,CG10335,Pbgs
chr3L,13858596,13859674,-,s22585,1,introns,introns,CG8745,CG8745
chr3L,14016741,14017371,-,s22586,1,CDS,repeats,CG32133,ptip
chr3L,14534808,14535034,-,s22587,1,3' UTRs,3' UTRs,CG9238,CG9238
chr3L,14543703,14543751,-,s22588,1,5' UTRs,5' UTRs,CG9238,CG9238
chr3L,15131416,15131882,-,s22589,1,CDS,5' UTRs,CG6988,Pdi
chr3L,15132333,15132604,-,s22590,1,5' UTRs,5' UTRs,CG6988,Pdi
chr3L,15963236,15964100,-,s22591,1,3' UTRs,CDS,CG5942,brm
chr3L,16031730,16031927,-,s22592,1,3' UTRs,CDS,CG12284,th
chr3L,17654776,17655322,-,s22593,1,3' UTRs,3' UTRs,CG6064,TORC
chr3L,17745062,17745281,-,s22594,1,3' UTRs,3' UTRs,CG5992,Adgf-A
chr3L,17892262,17900478,-,s22595,1,3' UTRs,5' UTRs,CG5485,Prestin
chr3L,18798017,18798759,-,s22596,1,CDS,5' UTRs,CG14073,CG14073
chr3L,18983597,18983833,-,s22597,1,3' UTRs,3' UTRs,CG34256,CG34256
chr3L,20161577,20161931,-,s22598,1,introns,introns,CG42674,CG42674
chr3L,20195233,20196212,-,s22599,1,3' UTRs,CDS,CG7306,obst-F
chr3L,20195233,20196526,-,s22600,1,3' UTRs,CDS,CG7306,obst-F
chr3L,20198865,20199119,-,s22601,1,CDS,5' UTRs,CG7290,CG7290
chr3L,21277489,21277908,-,s22602,1,CDS,introns,CG12974,CG12974
chr3L,22068252,22068725,-,s22603,1,3' UTRs,CDS,CG7130,CG7130
chr3L,22255384,22255888,-,s22604,1,CDS,5' UTRs,CG9063,CG9063
chr3L,22759111,22759628,-,s22605,1,repeats (AS),repeats (AS),CG11238,l(3)04053
chr3L,2370575,2371913,-,s22606,1,CDS,5' UTRs,CG1317,CG1317
chr3L,2512296,2514197,-,s22607,1,CDS,CDS,CG16757,Spn
chr3L,331455,332018,-,s22608,1,CDS,5' UTRs,CG17084,mthl9
chr3L,3901614,3902548,-,s22609,1,CDS,5' UTRs,CG11624,Ubi-p63E
chr3L,5150890,5151085,-,s22610,1,3' UTRs,3' UTRs,CG32423,shep
chr3L,5151176,5151686,-,s22611,1,3' UTRs,3' UTRs,CG32423,shep
chr3L,5356439,5356692,-,s22612,1,3' UTRs,3' UTRs,CG10640,Uev1A
chr3L,6159044,6159210,-,s22613,1,other,other,CG10289,CG10289
chr3L,7261751,7262087,-,s22614,1,3' UTRs,3' UTRs,CG32381,unc-13-4A
chr3L,7319425,7319830,-,s22615,1,3' UTRs,3' UTRs,CG8602,CG8602
chr3L,7350545,7350805,-,s22616,1,3' UTRs,CDS,CG8588,pst
chr3L,7770501,7770979,-,s22617,1,other,3' UTRs,CG32369,CG32369
chr3L,8426956,8427275,-,s22618,1,3' UTRs,3' UTRs,FBgn0035895,Unr-RA
chr3L,9061768,9062728,-,s22619,1,other,other,CG4911,CG4911
chr3L,9062282,9062573,-,s22620,1,other,other,CG4911,CG4911
chr3L,9488296,9488579,-,s22621,1,3' UTRs,3' UTRs,CG3424,path
chr2RHet,241696,242078,+,s22622,1,repeats,repeats,CG12559,rl
chr2RHet,395137,395264,+,s22623,1,repeats,repeats,CG40191,CG40191
chr2RHet,1091473,1111418,+,s22624,1,repeats (AS),repeats (AS),CG41265,l(2)41Ab
chr2RHet,1088174,1088370,+,s22625,1,other,other,CG41265,l(2)41Ab
chr2RHet,2777054,2778269,+,s22626,1,3' UTRs,introns,CG17514,CG17514
chr2RHet,2820829,2821160,+,s22627,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2820906,2821172,+,s22628,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,94731,94973,+,s22629,1,repeats,repeats,CG12559,rl
chr2RHet,198911,201703,+,s22630,1,5' UTRs,introns,CG12559,rl
chr2RHet,200987,203690,+,s22631,1,introns,introns,CG12559,rl
chr2RHet,2269444,2269681,+,s22632,1,repeats,other,CG40733,CG40733
chr2RHet,564468,565790,+,s22633,1,CDS,CDS,CG41265,l(2)41Ab
chr2RHet,1881335,1881821,+,s22634,1,repeats,repeats,CG42596,CG42596
chr2RHet,2902722,2903295,+,s22635,1,CDS,3' UTRs,CG10837,eIF-4B
chr2RHet,1934469,1943820,+,s22636,1,repeats,repeats,CG42596,CG42596
chr2RHet,34278,34608,+,s22637,1,repeats,repeats,CG12559,rl
chr2RHet,2878572,2878938,+,s22638,1,other,other,CG10837,eIF-4B
chr2RHet,392826,397555,+,s22639,1,3' UTRs,other,CG40191,CG40191
chr2RHet,392311,392807,+,s22640,1,CDS,3' UTRs,CG40191,CG40191
chr2RHet,2207842,2208051,+,s22641,1,repeats,repeats,CG42596,CG42596
chr2RHet,2787214,2787384,+,s22642,1,introns,introns,CG17514,CG17514
chr2RHet,2902095,2906682,+,s22643,1,5' UTRs,introns,CG10837,eIF-4B
chr2RHet,223135,232695,+,s22644,1,introns,CDS,CG12559,rl
chr2RHet,2820545,2821278,+,s22645,1,CDS,other,CG17514,CG17514
chr2RHet,494263,495060,+,s22646,1,5' UTRs,introns,CG41265,l(2)41Ab
chr2RHet,1877744,1879182,+,s22647,1,repeats,introns,CG42596,CG42596
chr2RHet,1905060,1965581,+,s22648,1,CDS,CDS,CG42596,CG42596
chr2RHet,2269474,2270816,+,s22649,1,repeats,other,CG40733,CG40733
chr2RHet,2813370,2813667,+,s22650,1,introns,introns,CG17514,CG17514
chr2RHet,392826,394719,+,s22651,1,3' UTRs,repeats (AS),CG40191,CG40191
chr2RHet,564468,565026,+,s22652,1,CDS,CDS,CG41265,l(2)41Ab
chr2RHet,609209,610120,+,s22653,1,other,CDS (AS),CG41265,l(2)41Ab
chr2RHet,196534,207767,+,s22654,1,other,introns,CG12559,rl
chr2RHet,247340,251811,+,s22655,1,CDS,other,CG12559,rl
chr2RHet,392687,392894,+,s22656,1,repeats,3' UTRs,CG40191,CG40191
chr2RHet,2912545,2926390,+,s22657,1,CDS,repeats (AS),CG10837,eIF-4B
chr2RHet,3267131,3267356,+,s22658,1,other,repeats (AS),CG40080,Haspin
chr2RHet,1260108,1261128,+,s22659,1,other,repeats,CG42596,CG42596
chr2RHet,1260213,1260650,+,s22660,1,other,repeats,CG42596,CG42596
chr2RHet,1261164,1261608,+,s22661,1,other,repeats,CG42596,CG42596
chr2RHet,1729109,1729915,+,s22662,1,introns (AS),introns (AS),CG42596,CG42596
chr2RHet,565886,566119,+,s22663,1,introns,introns,CG41265,l(2)41Ab
chr2RHet,1260527,1260913,+,s22664,1,repeats,repeats,CG42596,CG42596
chr2RHet,1286326,1288127,+,s22665,1,introns (AS),repeats,CG42596,CG42596
chr2RHet,1639762,1640089,+,s22666,1,other,other,CG42596,CG42596
chr2RHet,687005,687371,+,s22667,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1078586,1081922,+,s22668,1,other,repeats (AS),CG41265,l(2)41Ab
chr2RHet,1084067,1086137,+,s22669,1,other,other,CG41265,l(2)41Ab
chr2RHet,1087873,1088659,+,s22670,1,other,other,CG41265,l(2)41Ab
chr2RHet,470109,470394,+,s22671,1,other,other,CG41265,l(2)41Ab
chr2RHet,687005,688732,+,s22672,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,742307,758355,+,s22673,1,repeats,introns (AS),CG41265,l(2)41Ab
chr2RHet,757486,757715,+,s22674,1,repeats (AS),repeats (AS),CG41265,l(2)41Ab
chr2RHet,88380,88675,+,s22675,1,repeats,repeats,CG12559,rl
chr2RHet,88638,88846,+,s22676,1,repeats,other,CG12559,rl
chr2RHet,89041,89418,+,s22677,1,other,other,CG12559,rl
chr2RHet,89051,89391,+,s22678,1,other,other,CG12559,rl
chr2RHet,933526,934393,+,s22679,1,introns (AS),repeats,CG41265,l(2)41Ab
chr2RHet,93951,94134,+,s22680,1,repeats,repeats,CG12559,rl
chr2RHet,1090273,1090558,+,s22681,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1120091,1126022,+,s22682,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,2351038,2351424,+,s22683,1,repeats (AS),repeats (AS),CG40733,CG40733
chr2RHet,690443,690758,+,s22684,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,996480,1072277,+,s22685,1,introns (AS),repeats,CG41265,l(2)41Ab
chr2RHet,1260937,1261263,+,s22686,1,repeats,repeats,CG42596,CG42596
chr2RHet,1269535,1288127,+,s22687,1,introns (AS),repeats,CG42596,CG42596
chr2RHet,2361243,2361534,+,s22688,1,other,other,CG40733,CG40733
chr2RHet,2933013,2933287,+,s22689,1,repeats,repeats,CG10837,eIF-4B
chr2RHet,687005,688518,+,s22690,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,687054,687269,+,s22691,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1140322,1140544,+,s22692,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,2884422,2884781,+,s22693,1,repeats,repeats,CG10837,eIF-4B
chr2RHet,1093317,1093672,+,s22694,1,repeats (AS),repeats (AS),CG41265,l(2)41Ab
chr2RHet,1433829,1434156,+,s22695,1,repeats (AS),repeats (AS),CG42596,CG42596
chr2RHet,2072406,2072692,+,s22696,1,other,other,CG42596,CG42596
chr2RHet,2355658,2355808,+,s22697,1,other,repeats (AS),CG40733,CG40733
chr2RHet,87713,88374,+,s22698,1,other,repeats,CG12559,rl
chr2RHet,1129936,1130632,+,s22699,1,other,other,CG41265,l(2)41Ab
chr2RHet,1137374,1137654,+,s22700,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1260632,1261016,+,s22701,1,repeats,repeats,CG42596,CG42596
chr2RHet,2370561,2370759,+,s22702,1,other,repeats,CG40733,CG40733
chr2RHet,1087291,1087531,+,s22703,1,repeats (AS),other,CG41265,l(2)41Ab
chr2RHet,1090140,1090549,+,s22704,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1085583,1086487,+,s22705,1,repeats (AS),repeats (AS),CG41265,l(2)41Ab
chr2RHet,2330306,2334362,+,s22706,1,other,repeats (AS),CG40733,CG40733
chr2RHet,1082477,1084166,+,s22707,1,other,other,CG41265,l(2)41Ab
chr2RHet,1088036,1088181,+,s22708,1,other,other,CG41265,l(2)41Ab
chr2RHet,1090789,1092608,+,s22709,1,other,repeats (AS),CG41265,l(2)41Ab
chr2RHet,2323045,2347676,+,s22710,1,other,other,CG40733,CG40733
chr2RHet,992210,1074870,+,s22711,1,introns (AS),other,CG41265,l(2)41Ab
chr2RHet,1416271,1416531,+,s22712,1,repeats,repeats,CG42596,CG42596
chr2RHet,1135884,1136126,+,s22713,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1137650,1137836,+,s22714,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1638638,1640129,+,s22715,1,repeats (AS),other,CG42596,CG42596
chr2RHet,2370694,2370921,+,s22716,1,repeats,repeats,CG40733,CG40733
chr2RHet,922869,924790,+,s22717,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1136214,1137563,+,s22718,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1139180,1139373,+,s22719,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1261033,1261281,+,s22720,1,repeats,repeats,CG42596,CG42596
chr2RHet,2783491,2784475,+,s22721,1,introns,introns,CG17514,CG17514
chr2RHet,2933839,2934157,+,s22722,1,repeats,repeats,CG10837,eIF-4B
chr2RHet,898083,899029,+,s22723,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1112494,1112742,+,s22724,1,other,other,CG41265,l(2)41Ab
chr2RHet,196288,207155,+,s22725,1,repeats,CDS,CG12559,rl
chr2RHet,202465,202617,+,s22726,1,repeats,repeats,CG12559,rl
chr2RHet,232562,322019,+,s22727,1,CDS,repeats (AS),CG12559,rl
chr2RHet,1264623,1265686,+,s22728,1,other,CDS (AS),CG42596,CG42596
chr2RHet,1729967,1738191,+,s22729,1,CDS (AS),CDS (AS),CG42596,CG42596
chr2RHet,203350,203591,+,s22730,1,CDS,introns,CG12559,rl
chr2RHet,2574533,2574759,+,s22731,1,repeats,other,CG40733,CG40733
chr2RHet,2825380,2915524,+,s22732,1,repeats,CDS,CG17514,CG17514
chr2RHet,3124948,3125549,+,s22733,1,repeats,repeats,CG40080,Haspin
chr2RHet,3198573,3201706,+,s22734,1,repeats,repeats,CG40080,Haspin
chr2RHet,491808,495242,+,s22735,1,introns,CDS,CG41265,l(2)41Ab
chr2RHet,88622,88817,+,s22736,1,repeats,other,CG12559,rl
chr2RHet,3182675,3183688,+,s22737,1,repeats (AS),other,CG40080,Haspin
chr2RHet,374668,375587,+,s22738,1,repeats,repeats,CG40191,CG40191
chr2RHet,687485,687749,+,s22739,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,689299,689540,+,s22740,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,334553,342065,+,s22741,1,other,repeats,CG40191,CG40191
chr2RHet,87743,88374,+,s22742,1,other,repeats,CG12559,rl
chr2RHet,910878,911196,+,s22743,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,92893,93340,+,s22744,1,other,repeats,CG12559,rl
chr2RHet,3179654,3183688,+,s22745,1,5' UTRs (AS),other,CG40080,Haspin
chr2RHet,2352085,2352425,+,s22746,1,other,other,CG40733,CG40733
chr2RHet,2897717,2897900,+,s22747,1,other,other,CG10837,eIF-4B
chr2RHet,687005,687190,+,s22748,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,1261332,1261523,+,s22749,1,repeats,repeats,CG42596,CG42596
chr2RHet,687005,687174,+,s22750,1,repeats,repeats,CG41265,l(2)41Ab
chr2RHet,87592,88371,+,s22751,1,repeats,repeats,CG12559,rl
chr2RHet,1261265,1261490,+,s22752,1,repeats,repeats,CG42596,CG42596
chr2RHet,497911,498145,+,s22753,1,introns,introns,CG41265,l(2)41Ab
chr2RHet,2300809,2301616,+,s22754,1,repeats,other,CG40733,CG40733
chr2RHet,2820614,2821139,+,s22755,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2820721,2821158,+,s22756,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,196534,208083,+,s22757,1,other,repeats,CG12559,rl
chr2RHet,103940,105115,+,s22758,1,other,other,CG12559,rl
chr2RHet,203350,208083,+,s22759,1,CDS,repeats,CG12559,rl
chr2RHet,101091,101223,+,s22760,1,repeats,repeats,CG12559,rl
chr2RHet,2820633,2821158,+,s22761,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,1613699,1613980,+,s22762,1,repeats (AS),repeats (AS),CG42596,CG42596
chr2RHet,2781190,2781399,+,s22763,1,introns,introns,CG17514,CG17514
chr2RHet,2909482,2910103,+,s22764,1,introns,introns,CG10837,eIF-4B
chr2RHet,3285767,3286265,+,s22765,1,repeats,repeats,CG40080,Haspin
chr2RHet,391006,391126,+,s22766,1,repeats,CDS,CG40191,CG40191
chr2RHet,202332,202711,+,s22767,1,repeats,repeats,CG12559,rl
chr2RHet,2573367,2611056,+,s22768,1,other,repeats (AS),CG40733,CG40733
chr2RHet,198975,207155,+,s22769,1,5' UTRs,CDS,CG12559,rl
chr2RHet,201724,207155,+,s22770,1,introns,CDS,CG12559,rl
chr2RHet,238254,239017,+,s22771,1,introns,repeats,CG12559,rl
chr2RHet,391057,391926,+,s22772,1,5' UTRs,CDS,CG40191,CG40191
chr2RHet,1903881,1904077,+,s22773,1,introns,introns,CG42596,CG42596
chr2RHet,208660,208942,+,s22774,1,repeats,repeats,CG12559,rl
chr2RHet,2779268,2779443,+,s22775,1,introns,introns,CG17514,CG17514
chr2RHet,381342,397555,+,s22776,1,repeats,other,CG40191,CG40191
chr2RHet,609209,610140,+,s22777,1,other,introns (AS),CG41265,l(2)41Ab
chr2RHet,2820829,2821152,+,s22778,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2902614,2903437,+,s22779,1,CDS,3' UTRs,CG10837,eIF-4B
chr2RHet,295747,300458,+,s22780,1,repeats,repeats,CG12559,rl
chr2RHet,150823,151074,+,s22781,1,repeats,repeats,CG12559,rl
chr2RHet,2820518,2821152,+,s22782,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2820721,2821152,+,s22783,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2820906,2821152,+,s22784,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2903252,2903561,+,s22785,1,3' UTRs,3' UTRs,CG10837,eIF-4B
chr2RHet,392596,392850,+,s22786,1,CDS,3' UTRs,CG40191,CG40191
chr2RHet,247747,252417,+,s22787,1,3' UTRs,other,CG12559,rl
chr2RHet,2903046,2903505,+,s22788,1,CDS,3' UTRs,CG10837,eIF-4B
chr2RHet,3231139,3231450,+,s22789,1,introns,repeats,CG40080,Haspin
chr2RHet,241547,241772,+,s22790,1,introns,repeats,CG12559,rl
chr2RHet,2802165,2814143,+,s22791,1,introns,introns,CG17514,CG17514
chr2RHet,2798184,2799568,+,s22792,1,introns,introns,CG17514,CG17514
chr2RHet,2841931,2842459,+,s22793,1,repeats (AS),repeats (AS),CG17514,CG17514
chr2RHet,3150328,3242290,+,s22794,1,repeats (AS),repeats (AS),CG40080,Haspin
chr2RHet,391078,391926,+,s22795,1,5' UTRs,CDS,CG40191,CG40191
chr2RHet,392998,393178,+,s22796,1,other,repeats,CG40191,CG40191
chr2RHet,196288,208083,+,s22797,1,repeats,repeats,CG12559,rl
chr2RHet,2820143,2821152,+,s22798,1,CDS,3' UTRs,CG17514,CG17514
chr2RHet,2898002,2898367,+,s22799,1,repeats,repeats,CG10837,eIF-4B
chr2RHet,3941,4113,+,s22800,1,repeats,repeats,CG12559,rl
chr2L,12209522,12209994,+,s22801,1,CDS,3' UTRs,CG31759,CG31759
chr2L,12704747,12705092,+,s22802,1,5' UTRs,CDS,CG12292,spict
chr2L,12725713,12730151,+,s22803,1,CDS,CDS,CG6214,MRP
chr2L,14091694,14092125,+,s22804,1,other,other,CG32975,nAcRalpha-34E
chr2L,1837020,1853596,+,s22805,1,introns,CDS,CG31665,CG31665
chr2L,20054078,20055109,+,s22806,1,5' UTRs,CDS,CG13968,sNPF
chr2L,21388504,21389079,+,s22807,1,CDS,CDS,CG8663,nrv3
chr2L,22571,29585,+,s22808,1,CDS (AS),introns (AS),CG11023,CG11023
chr2L,5850101,5851031,+,s22809,1,CDS,CDS,CG34381,CG34381
chr2L,8039108,8039390,+,s22810,1,3' UTRs,3' UTRs,CG7392,Cka
chr2L,8105693,8110652,+,s22811,1,CDS,other,FBgn0011219,Bsg-RH
chr2L,1292649,1295091,+,s22812,1,CDS,other,CG5423,robo3
chr2L,15020003,15021346,+,s22813,1,introns,CDS,CG15274,GABA-B-R1
chr2L,16350899,16351653,+,s22814,1,introns (AS),introns (AS),CG4455,CG4455
chr2L,18333386,18366907,+,s22815,1,introns,introns,CG5803,Fas3
chr2L,20420320,20422642,+,s22816,1,CDS,3' UTRs,CG10954,Arc-p34
chr2L,21318239,21319135,+,s22817,1,CDS,3' UTRs,CG8669,crc
chr2L,2998318,2998651,+,s22818,1,3' UTRs,other,CG3558,CG3558
chr2L,3066764,3067636,+,s22819,1,CDS,3' UTRs,CG3523,CG3523
chr2L,4046470,4046696,+,s22820,1,introns,introns,CG12676,ed
chr2L,5850832,5851826,+,s22821,1,CDS,CDS,CG34381,CG34381
chr2L,7423797,7424291,+,s22822,1,other,other,CG5229,chm
chr2L,9154660,9162708,+,s22823,1,CDS,CDS,CG32982,CG32982
chr2L,13300340,13301255,+,s22824,1,CDS,3' UTRs,CG31729,CG31729
chr2L,16351363,16351653,+,s22825,1,introns (AS),introns (AS),CG4455,CG4455
chr2L,16557880,16565995,+,s22826,1,5' UTRs,introns,CG42389,CG42389
chr2L,16768590,16768816,+,s22827,1,5' UTRs,CDS,CG17927,Mhc
chr2L,17403462,17403666,+,s22828,1,introns,introns,CG5020,CLIP-190
chr2L,22145672,22160339,+,s22829,1,CDS,CDS,CG42748,CG42748
chr2L,2401108,2409555,+,s22830,1,5' UTRs,3' UTRs,CG9887,VGlut
chr2L,2704927,2719369,+,s22831,1,CDS,3' UTRs,CG31690,CG31690
chr2L,4056255,4080022,+,s22832,1,introns,CDS,CG12676,ed
chr2L,4854399,4875080,+,s22833,1,introns,CDS,CG11926,CG11926
chr2L,5168085,5185779,+,s22834,1,CDS,repeats,CG42768,Msp-300
chr2L,6192755,6196996,+,s22835,1,CDS,CDS,CG34380,CG34380
chr2L,71027,71209,+,s22836,1,3' UTRs,3' UTRs,CG11371,dbr
chr2L,8089059,8089736,+,s22837,1,introns,CDS,FBgn0011219,Bsg-RH
chr2L,9214465,9227739,+,s22838,1,introns,introns,CG13109,tai
chr2L,13274692,13275865,+,s22839,1,CDS,CDS,CG6043,CG6043
chr2L,16778391,16780268,+,s22840,1,CDS,introns,CG17927,Mhc
chr2L,1848066,1851273,+,s22841,1,CDS,CDS,CG31665,CG31665
chr2L,18696569,18697754,+,s22842,1,CDS,CDS,CG10338,CG10338
chr2L,19416549,19416792,+,s22843,1,introns (AS),introns (AS),CG9976,Lectin-galC1
chr2L,19497567,19497751,+,s22844,1,3' UTRs,3' UTRs,CG10084,swm
chr2L,20656500,20658155,+,s22845,1,5' UTRs,CDS,CG2614,CG2614
chr2L,20676195,20678818,+,s22846,1,other,3' UTRs,CG2615,ik2
chr2L,22140725,22146304,+,s22847,1,5' UTRs,CDS,CG42748,CG42748
chr2L,2323384,2327528,+,s22848,1,5' UTRs,CDS,CG33955,eys
chr2L,4284760,4299189,+,s22849,1,5' UTRs,CDS,CG15427,tutl
chr2L,5189989,5190094,+,s22850,1,repeats,CDS,CG42768,Msp-300
chr2L,6345924,6346140,+,s22851,1,3' UTRs,3' UTRs,CG11567,Cpr
chr2L,7429932,7430312,+,s22852,1,3' UTRs,3' UTRs,CG5261,CG5261
chr2L,8102301,8107438,+,s22853,1,CDS,CDS,FBgn0011219,Bsg-RH
chr2L,9425715,9426235,+,s22854,1,CDS,3' UTRs,CG3759,CG3759
chr2L,10157966,10158526,+,s22855,1,repeats (AS),repeats (AS),CG4839,CG4839
chr2L,10432312,10432582,+,s22856,1,CDS,3' UTRs,CG5193,TfIIB
chr2L,14932515,14939028,+,s22857,1,CDS (AS),CDS (AS),CG3491,CG3491
chr2L,17450616,17450771,+,s22858,1,other,other,CG5050,CG5050
chr2L,19925384,19926647,+,s22859,1,CDS,introns,FBgn0260966,sick-RB
chr2L,303864,304322,+,s22860,1,3' UTRs,other,CG2699,Pi3K21B
chr2L,5036761,5037020,+,s22861,1,3' UTRs,3' UTRs,CG4145,Cg25C
chr2L,752696,761095,+,s22862,1,introns,3' UTRs,CG3022,GABA-B-R3
chr2L,8369032,8369716,+,s22863,1,introns,introns,CG17291,Pp2A-29B
chr2L,10335782,10337596,+,s22864,1,CDS,CDS,CG5034,GATAd
chr2L,1608017,1608188,+,s22865,1,introns (AS),introns (AS),CG14351,haf
chr2L,16351067,16351653,+,s22866,1,introns (AS),introns (AS),CG4455,CG4455
chr2L,18347736,18348818,+,s22867,1,introns,introns,CG5803,Fas3
chr2L,19035762,19037971,+,s22868,1,5' UTRs,CDS,CG17492,mib2
chr2L,2130932,2131116,+,s22869,1,5' UTRs,CDS,CG7254,GlyP
chr2L,21700673,21701938,+,s22870,1,CDS,CDS,CG31619,CG31619
chr2L,22869240,22875325,+,s22871,1,repeats (AS),CDS,CG17678,cta
chr2L,447530,447750,+,s22872,1,3' UTRs,3' UTRs,CG4114,ex
chr2L,6345805,6346104,+,s22873,1,CDS,3' UTRs,CG11567,Cpr
chr2L,6400989,6401300,+,s22874,1,introns (AS),introns (AS),CG13982,CG13982
chr2L,101650,101914,+,s22875,1,introns,CDS,CG11376,CG11376
chr2L,10536221,10536439,+,s22876,1,CDS,3' UTRs,CG18302,CG18302
chr2L,14493264,14493638,+,s22877,1,3' UTRs,3' UTRs,CG4491,noc
chr2L,17403429,17403762,+,s22878,1,introns,introns,CG5020,CLIP-190
chr2L,18026956,18030336,+,s22879,1,5' UTRs,introns,CG31740,CG31740
chr2L,20813988,20814070,+,s22880,1,3' UTRs,other,CG9328,CG9328
chr2L,21273358,21274041,+,s22881,1,5' UTRs,CDS,CG8671,CG8671
chr2L,21576578,21577021,+,s22882,1,3' UTRs,3' UTRs,CG3305,CG3305
chr2L,21684547,21711410,+,s22883,1,5' UTRs,CDS,CG31619,CG31619
chr2L,22440273,22443942,+,s22884,1,CDS,3' UTRs,CG17490,CG17490
chr2L,22898814,22901553,+,s22885,1,introns (AS),repeats,CG17678,cta
chr2L,2312797,2312927,+,s22886,1,introns,introns,CG16995,CG16995
chr2L,3067651,3067859,+,s22887,1,3' UTRs,3' UTRs,CG3523,CG3523
chr2L,6095742,6095896,+,s22888,1,3' UTRs,3' UTRs,CG18783,Kr-h1
chr2L,7057865,7059198,+,s22889,1,CDS,CDS,CG13778,Mnn1
chr2L,8589392,8591655,+,s22890,1,introns,introns,CG18405,Sema-1a
chr2L,8913395,8913593,+,s22891,1,introns,introns,CG34398,CG34398
chr2L,9340945,9341188,+,s22892,1,3' UTRs,3' UTRs,CG3747,Eaat1
chr2L,16696586,16698348,+,s22893,1,5' UTRs,CDS,CG17161,grp
chr2L,21390324,21390400,+,s22894,1,repeats,other,CG8663,nrv3
